Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
пользоваться,,Ins,наибольшей популярностью,В этот период,2,3,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
знать,,Gen,ничего,о таком платеже за его трансфер,1,6,-5,2,6,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
называть,,Acc,косой крест,В России,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
сообщать,,Acc,ничего,о Предславе,1,2,-1,2,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
проходить,,Acc,Спецподготовку по диверсионной работе,в лагерях абвера Закопане Крыныци Команчи,4,6,-2,12,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
давать,,Acc,примеры этого понятия,В случае высказываний,3,3,0,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
стать,,Ins,Инициаторами создания 1-й Студии,в 1912 году,4,3,1,7,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
объединить,,Acc,Юго-Восточный Западный и Нижне-Амурский лагеря,В январе феврале 1940 года,5,5,0,1,11,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
можно,,Acc,воду,непосредственно перед городом,1,3,-2,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
достраивать,,Acc,последние паровозы,в 1942 году,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
повторить,,Acc,эти обвинения,в Веке Людовика XIV,2,4,-2,2,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
забить,,Acc,Единственный мяч,у Гамбурга,2,2,0,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
сжечь,,Acc,город,в 1676 году,1,3,-2,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
можно,,Acc,взрослые экземпляры,В США,2,2,0,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
удаться,,Acc,дело,благодаря вмешательству голливудских воротил,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
сравнивать,,Acc,космос,по Порфирию,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
поддерживать,,Acc,оппозицию,в Сирии,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
