Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
storten,,,de federatie,in diepe crisis,2,3,-1,5,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
hebben,,,het snot,voor de ogen,2,3,-1,4,1,definite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
wegzuigen,,,geld,uit ons land,1,3,-2,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
behandelen,,,grote onderwerpen,in ritmische taal,2,3,-1,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
tonen,,Acc,hen,op zeer subtiele wijze,1,4,-3,5,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
produceren,,,nieuwe nog niet eerder gehoorde gevallen van taalgebruik,op grond van eerder aangeboden gevallen van taalgebruik,8,8,0,4,12,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
beschermen,,Acc,zich,tegen de wereld en de naar zijn gevoel niet geringe aanstellerij domheid en verveling daarin,1,15,-14,18,15,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
zenden,,,bloemen en een gelukstelegram,naar kasteel Drakensteyn,4,3,1,4,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zenden,,,een gelukstelegram,mede namens het Westduitse volk,2,5,-3,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
houden,,,zijn werk,in ritmisch opzicht,2,3,-1,7,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
maken,,Acc,zich,van een star metrum,1,4,-3,7,3,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
brengen,,,de te lage prijs,op Europees niveau,4,3,1,5,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
oplichten,,,vleesfabrikanten in Nederland en Belgie,voor een bedrag van ongeveer 450.000 mark,5,7,-2,12,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
hebben,,,een kantoor,in Keulen,2,2,0,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
verschaffen,,,een sterkere basis,aan de besprekingen,3,3,0,2,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
ondervinden,,,de grenzen van hun macht,in het tijdperk na de tweede wereldoorlog,5,7,-2,4,10,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
dekken,,Acc,zich,in de nota,1,3,-2,6,3,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
geven,,,een verantwoord geriatrische scholing,aan artsen en aanstaande artsen,4,5,-1,2,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
natrappen,,,Hovenkamp,een kwartier na de rust,1,5,-4,1,2,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
grijpen,,,de overwinning,in zijn eigen gemeente Vries,2,5,-3,1,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
leveren,,,geen enkele bijdrage van belang,in de 23 jaar van haar bestaan,5,7,-2,4,10,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
krijgen,,,opdrachten,in vele plaatsen in het land,1,6,-5,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
winnen,,,de uitwedstrijd tegen Barcelona,met 2-1,4,2,2,5,1,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
herbergen,,,die 20.000 ingezetenen,twintig jaar na nu,3,4,-1,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
noemen,,,1969,in zijn Nieuwjaarstoespraak tot het personeel,1,6,-5,4,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
toevoegen,,,een verdieping die thans geheel geblindeerd is,aan de ruimte,7,3,4,13,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
verdienen,,,het gevraagde minimumloon,onder alle omstandigheden,3,3,0,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
halen,,,de dolk,tijdens een ruzie in het huis van het slachtoffer in de Witte Herenstraat,2,13,-11,3,15,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
openen,,,een voedsel-luchtbrug op Biafra,al of niet in samenwerking met de Scandinavische landen,4,9,-5,4,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
hebben,,,geen negatieve gevolgen,voor het personeel,3,3,0,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
beperken,,,het lozen van afvalstoffen waarbij stank en andere hinder optreedt,in verband met de mist,10,5,5,17,2,definite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
merken,,,niets,van het gebeurde,1,3,-2,1,2,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
geven,,,hun bank- of gironummer,aan de administrateur,4,3,1,8,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
brengen,,,te veel kosten,met zich,3,2,1,3,1,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
krijgen,,,geen oorvijg,op het gisteren in de zuurkoolstad Mainz begonnen CDU-congres,2,9,-7,1,3,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
treffen,,Acc,hem,op het vorige partijcongres,1,4,-3,5,1,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
brengen,,,een dergelijk sterk veld,bij elkaar,4,2,2,4,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
vergasten,,,het Nederlandse publiek,in de Rai,3,3,0,1,4,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
steken,,,zijn oproep voor de militaire dienst,uit protest,6,2,4,8,10,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
afwerpen,,,vrucht,in Bulgarije waar de latere Joannes xx111 pauselijke gezant was en in Hongarije bij Horthy,1,15,-14,1,17,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
gevoelen,,,het onbehagen,in veel gesprekken met arbeiders,2,5,-3,6,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
blootleggen,,,de ziel van deze zelfbewuste maar wrede vorst,op indringende wijze,8,3,5,8,10,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
doen,,,het,in een aantal zorgvuldig geregistreerde gemeenten,1,6,-5,10,7,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
staken,,,haar activiteiten,wegens gebrek aan middelen,2,4,-2,3,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
voorzien,,,zowel de platen aan de portiekzijde als aan de andere kant van de flat,van een extra constructie,14,4,10,17,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
terugroepen,,,hun eventuele diplomatieke en consulaire missies,uit Namibie,6,2,4,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
begeleiden,,,de reis van de Enola Gay genoemd naar de moeder van de piloot,in een ander vliegtuig,13,4,9,18,1,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
overtuigen,,,onze critici,door dialoog,2,2,0,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
bewegen,,,een van de wethouders,tot het nemen van ontslag,4,5,-1,10,4,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
brengen,,,de internationale tenniskampioenschappen van West-Duitsland,voor de eerste maal in zijn carriere,5,7,-2,6,12,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
stellen,,,natuurschoon folklore kunstschatten en architectuur,in een harmonische verhouding,5,4,1,13,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
maken,,,het kleine haventje dat in 1486 door de vloot van Napels werd verwoest,in 1738,13,2,11,19,5,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
handhaven,,,zijn fraaie positie bovenaan de ranglijst,tegen het defensief sterk spelende Den Bosch,6,7,-1,14,5,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
afzetten,,,"koelhuisboter tegen sterk verlaagde prijzen ongeveer flo 1,20 per pakje",op grote schaal,10,3,7,18,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
leggen,,,geen groot gewicht,aan de conferentietafel,3,3,0,5,8,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
doen,,,het papier,van het snoepje,2,3,-1,4,1,definite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
goedmaken,,,zijn opgelopen verlies op de leider in het klassement,ondanks een fabelachtige tien kilometer,9,5,4,21,24,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
afsluiten,,,zijn door alles wat zich Nederlands voelde en dat was nogal wat tijdens dit onvergetelijke weekeinde in het Innsbrucker olympisch ijsstadion met ingehouden adem gadegeslagen rit op de 10.000 meter,in winnende positie,30,3,27,9,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
trainen,,Acc,zich,in de krachtsport,1,3,-2,5,2,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
lichten,,,de verlaging van de kiesgerechtigde leeftijd,uit het vraagstuk van de algemene meerderjarigheid,6,7,-1,5,11,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zien,,,deze kleren,of bij Plaza op de gracht of in het confectiecentrum,2,10,-8,6,16,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
