Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
देख,,Acc,पुस्तकालय श्रृव्य आर्काइव कंप्यूटरीकृत कक्ष व प्रजातीय नमूनों को,संग्रहालय में,9,2,7,13,15,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
रख,,Acc,एकत्रित कला नमूनों को,मध्यप्रदेश के रायसेन सीहोर मंदसौर और शहडोल जिलों से,4,9,-5,2,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
देख,,Nom,चाँदी के आभूषण बीडवर्क कढ़ाई का काम और सीक्वन का काम,खूबसूरत अंदाज में,11,3,8,14,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
बसा,,Nom,ओरछा,16वीं शताब्दी में,1,3,-2,11,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
बनवा,,Nom,चतुर्भुज के आकार का यह महल,17वीं शताब्दी में,6,3,3,7,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
कर,,Acc,शाही शौक को,आसानी से,3,2,1,5,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
निहार,Nom,"Acc,Dat",इसे,तवेली महल से,1,3,-2,4,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
कह,,"Acc,Dat",इसे,जिसके कारण,1,2,-1,3,5,indefinite,indefinite,pronominal,pronominal,postposition,nonshifted,preverbal
बना,,"Acc,Dat",इसे,रूपमती के महल में,1,4,-3,9,6,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
देख,,Nom,पूरे मांडू का विहंगम दृश्य,यहाँ से,5,2,3,1,7,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
कर,,Acc,इस मंदिर के सौंदर्य को,शब्दों में,5,2,3,6,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
देख,,Nom,अकबर कालीन कला के नमूने,इसकी दीवारों पर,5,3,2,1,7,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
डाल,,Nom,घेरा,एक वर्ष तक,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
जमा,,Nom,अपना राज,16वीं शताब्दी में,2,3,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
ले,,Nom,डंडा,खाली हाथ में,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
देख,,Nom,इस खूबसूरत देश के कई नयनाभिराम दृश्य,यश चोपड़ा की फिल्मों में,7,5,2,1,9,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
बच,,Acc,लोगों की नजरों से,अभी तक,4,2,2,2,6,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
निहार,Nom,Acc,प्रकृति की अनुपम छटा को,भीड़ भाड़ से दूर एंकात में,5,6,-1,2,7,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
बदल,,"Acc,Dat",जिन्हें,दुनिया के बेहतरीन गोल्फ मैदानों में,1,6,-5,7,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
कह,,Acc,रेस्त्रां को,यहाँ की भाषा में,2,4,-2,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
दे,,"Acc,Dat",जिसे,बाद में,1,2,-1,6,5,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
रख,,Nom,मिस्त्र ग्रीक व रोमन कलाओं के बेहतरीन नमूने,यहाँ की तीन मुख्य दीर्घाओं में,8,6,2,1,11,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
दिखा,,Nom,विश कम ट्रू नामक 12 मिनट की खूबसूरत फिल्म,यहाँ के मैजिकल कासल में,9,5,4,1,13,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
निहार,,Acc,यहाँ की राजधानी एम्‍स्‍टर्डम को,पैंतिस से पैंतालिस किलोमीटर के दायरे में,5,7,-2,2,7,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
रख,,Nom,समुद्री यात्राओं से जुड़ी कई यादें,इस म्यूजियम में,6,3,3,2,9,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
