Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
completar,,,esta liberalización de las telecomunicaciones,con otras medidas que incentiven la competencia como puede ser abrir el acceso a la información de los clientes de Telefónica a otros operadores,5,24,-19,2,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ofrecer,,,el apoyo activo de la CEIM,en la consecución de los retos fijados por el Gobierno en esta materia,6,13,-7,2,11,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
recoger,,,un informe del Comité de Desarrollo Económico de EEUU en el que se destaca la importancia de la investigación básica universitaria americana y propone mejorar la enseñanza para asegurar la provisión futura de científicos sobresalientes,de forma resumida,35,3,32,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
tomar,,,la Comunidad de Madrid,como referencia,4,2,2,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
producir,,,sustanciales beneficios,durante un largo periodo,2,4,-2,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
incentivar,,,la colaboración entre los científicos y técnicos y el sector productivo,con diferentes medidas,11,3,8,5,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
terminar,,ase=Npr,lo,en septiembre del 2001,1,4,-3,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
tener,,,una plantilla de 13.487 empleados,a fines de 1999,5,4,1,2,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
reducir,,ase=Npr,lo,a 14.000,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
recibir,,,un pago de capital de 90 francos suizos 53 dólares y un dividendo especial de 135 francos suizos unos 80 dólares,por cada acción de Algroup,21,5,16,2,28,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
proporcionar,,,el 34 por ciento de las acciones en circulación de Algroup,para el intercambio con Alcan,11,5,6,2,14,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
fusionar,,,las operaciones de Algroup y Alcan,en una nueva industria líder a nivel global en el sector del aluminio y el embalado,6,16,-10,2,10,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
contar,,,con operaciones,en 30 países,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
emplear,,,a alrededor de 30.000 personas,para la producción de aluminio y productos derivados,5,8,-3,5,8,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
poner,,,el sistema bancario-financiero de Rumanía,en peligro,5,2,3,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
volver,,,la calma,a los mercados,2,3,-1,6,9,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
estimar,,,por el Consejo Supremo de Defensa del País,como una amenaza a la seguridad nacional,8,7,1,3,12,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
difundir,,,rumores sobre la inminente quiebra del BCR,a través de llamadas telefónicas anónimas y mensajes por correo electrónico,7,11,-4,1,12,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
anunciar,,,medidas legislativas para fortalecer el control sobre los fondos mutuos de inversiones,con el objetivo de impedir el fraude el engaño y la falsa publicidad,12,13,-1,2,16,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
cubrir,,,unos 23.000 empleos,en diversos sectores,3,3,0,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
urgir,,,la necesidad de esta medida legal,durante una cena organizada anoche por la patronal de la pequeña y mediana empresa Pimec-Sefes en la que también advirtió a los empresarios sindicatos y administraciones a que cumplan con la normativa laboral en materia de prevención de la siniestralidad,6,40,-34,2,9,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
cumplir,,,con la normativa laboral,en materia de prevención de la siniestralidad,4,7,-3,3,8,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
