Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
udržovat,,Acc,je,v tomto stavu,1,3,-2,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
odstranit,,Acc,závady,po předchozím upozornění správy domu,1,5,-4,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
převzít,,Acc,jej,v jakém,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
vynášet,,Acc,nádoby,bez zvláštních potíží a časových ztrát,1,6,-5,7,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
užívat,,Gen,Praček pro domácnost,v bytech,3,2,1,7,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
uklidit,,Acc,ji,Po použití prádelny,1,3,-2,3,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
přijímat,,Acc,Pracovníky,do pracovního poměru,1,3,-2,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
splnit,,Acc,tuto podmínku,do konce roku,2,3,-1,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
příslušet,,Dat,mu,za který,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
náležet,,Dat,pracujícímu důchodci,za které,2,2,0,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zajišťovat,,Acc,Specializovanou nemocniční péči,v případě potřeby,3,3,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
ukázat,,Nom,jako podstatná,V tomto směru,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
promítnout,,Acc,Zpevnění norem,s okamžitou platností,2,3,-1,5,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
zajišťovat,,Acc,Tento úkol,na závodech,2,2,0,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
realizovat,,Acc,ji,v plné šíři,1,3,-2,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
nastupovat,,Acc,svou funkci,s nimiž,2,2,0,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,preverbal
připravit,,Acc,Uzavřené závazky,k # výročí VŘSR,2,4,-2,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
