Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
mensarangkan,,,satu atau dua buah torpedo,ke bagian lambung kapal Hiei,5,5,0,5,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menbuat,,,studi perbandingan,pada hewan,2,2,0,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
terjadi,,,adenoma,pada kelenjar hipofisis,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menrasa,,,cemburu,dengan Pandawa,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menakui,,,kekuasaan tunggal,di Kerajaan Medang,2,3,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menkenakan,,,jubah,dengan lengan baju yang pendek serta rok berlapis yang mengembang,1,10,-9,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menafkah,,,harta,sesuai tuntunan Alloh dan Rasul-Nya,1,5,-4,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mengamputasi,,,salah satu bagian tubuh yang sakit atau terkena kanker,demi kebaikan diri seseorang,9,4,5,3,11,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
jatuh,,,cinta,pada sang direktur VB Rose,1,5,-4,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menlakukan,,,tapa,di sebuah tempat bernama Kurukshetra,1,5,-4,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menlacak,,,keberadaan hewan ataupun manusia,melalui satelit,4,2,2,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
disertifikasi,,,sejuta,oleh RIAJ,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mencatat,,,penjualan,sekitar 50 juta rekaman,1,4,-3,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mentulis,,,skenario,seperti film Bezet 2004 dan serial drama NPS Moes,1,9,-8,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menubah,,,citra mereka,dari Hip hop,2,3,-1,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mentawarkan,,,kursus persiapan untuk ujian standar beberapa,seperti UAN Ujian Akhir Nasional SAT dan TOEFL,6,8,-2,1,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menjadi,,,Kanselir Jerman,pada tanggal 30 Januari 1933,2,5,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
bernama,,,Marinus van der Lubbe,pada 27 Februari 1933,4,4,0,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
merupakan,,,gabungan dari 4 jazirah yang memanjang,dengan barisan pegunungan berapi aktif memenuhi lengan jazirah yang beberapa di antaranya mencapai ketinggian di atas 3.000 meter di atas permukaan laut,6,22,-16,1,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menlarikan,,,diri,dengan cara melompat ke dalam danau dengan memakai pakaian selamnya,1,10,-9,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ada,,,apa,dengan SMU Kharisma,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
berbahasa,,,Cina,seperti Singapura dan Malaysia,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menhibur,,,masyarakat,dalam setiap acara tradisional,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menbawakan,,,edisi hari kerja CTV National News,sejak tahun 1976,6,3,3,1,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menakhiri,,,supremasi kesultanan,di Mediterania,2,2,0,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
merupakan,,,tokoh mayor,dalam Mahabharata,2,2,0,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mentaruh,,,tautan unduh,di video videonya,2,3,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
jatuh,,,cinta,dengan seorang pengarang dan intelektual yang banyak mengunjungi tempat tempat lain Lou Andreas Salome 1861 1937,1,16,-15,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menrekam,,,singel Rain and Tears,di Paris,4,2,2,1,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mensebutkan,,,poin-poin khusus ini,juga dalam surat-suratnya,3,3,0,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menmulai,,,operasinya,pada 2 November 2000,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menunduh,,,piranti lunak ini,di kedua perangkat keras yang akan dihubungkan seperti komputer dan perangkat iOS iPhone iPad dan lain sebagainya,3,17,-14,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mentindak,,,kendaraan yang bermuatan lebih,sesuai batas muatan kelas jalan,4,5,-1,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ada,,,masalah,di sistem komunikasi kereta,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menlakukan,,,ini,dengan lipat dan sekering pada ujung ujungnya untuk membentuk sebuah ruang di mana bakal biji berkembang,1,16,-15,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
masukkan,,,T3,melalui lorong dalam waktu lima menit,1,6,-5,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menbutuhkan,,,waktu 19 hari saja,untuk menyerang tentara Prusia di Jena dan Auerstädt mengalahkannya dan akhirnya menduduki Berlin,4,13,-9,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mencuri,,,batu itu,untuk dirinya sendiri,2,3,-1,1,4,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
menberikan,,,harta kekayaan yang sejati,untuk setiap orang percaya yang takut akan Allah dan taat berjalan dalam Firman Nya Mazmur 112 1 10,4,18,-14,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
menjabat,,,Dubes Indonesia,untuk Jerman Barat,2,3,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
