Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
nájsť,,Acc,svoj vlastný spisovný jazyk,v používaní,4,2,2,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
dať,,Acc,dostatočne prístupný skutočný text tohto základného diela,do rúk slovenskej i medzinárodnej vedeckej verejnosti,7,7,0,11,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
mať,,Acc,obrovský národnozáchovný význam,v druhej polovici XIX storočia,3,5,-2,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
odovzdať,,Acc,otcove denníky,do skalického Záhorského múzea,2,4,-2,6,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
očakávať,,Acc,narodenie dieťaťa,v júni,2,2,0,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
vysypať,,Acc,kuskus,do nej,1,2,-1,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
meniť,,Acc,človeka,po každej stránke,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dostať,,Acc,všetkých záujemcov,do blízkosti rómskej lokality,2,4,-2,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
udeľovať,,Acc,Hlavnú cenu Zlatý debut,na prehliadke,4,2,2,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
povysávať,,Acc,všetky kancelárie,s vypnutým vysávačom,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vziať,,Acc,cudziu paradigmu,na vedomie,2,2,0,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
hodiť,,Dat,mi,do krámu,1,2,-1,2,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
požierať,,Acc,slová,bez akýchkoľvek zábran,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
zatláčať,,Acc,susedné centrum na hradisku Timerevo,do úzadia,5,2,3,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
spájať,,Acc,vyobrazenia zajacov,na veľkú noc,2,3,-1,4,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
hľadať,,Acc,vajíčka ukryté veľkonočným zajacom,v záhrade,4,2,2,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
držať,,Acc,štyri púčky,v pazúroch,2,2,0,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
posilňovať,,Acc,určité črty jeho charakteru,do neobvyklých až nadprirodzených polôh,4,5,-1,2,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vyčleniť,,Acc,takéto opozície,v rozoberaných úryvkoch,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vnášať,,Acc,už spomenuté prvky hrdinskej epiky,do útvaru,5,2,3,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
hodiť,,Acc,ho,na kolená,1,2,-1,2,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
vymaniť,,Acc,studené prsty,spod jeho rúk,2,3,-1,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
položiť,,Acc,ruku,na plece,1,2,-1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
napadnúť,,Dat,mi,až na druhý deň,1,4,-3,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
pobozkať,,Acc,ju,na líce,1,2,-1,2,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
mať,,Acc,celý bazén,pre seba,2,2,0,2,4,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
chytiť,,Acc,ma,za ruku,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
vidieť,,Acc,ťa,v bazéne,1,2,-1,2,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
chytiť,,Acc,ma,za zápästie,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
hodiť,,Acc,ho,na kolená,1,2,-1,2,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
mať,,Acc,bundu,na sebe,1,2,-1,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
mať,,Acc,jeho bundu,na sebe,2,2,0,4,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
mať,,Acc,piliny,v hlave,1,2,-1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
skočiť,,Dat,mi,do reči,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
mať,,Acc,ten lístok,na mysli,2,2,0,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
naskočiť,,Dat,mi,na ruke,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
vziať,,Acc,ju,na preteky chrtov,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
otvárať,,Acc,oči,vo vode,1,2,-1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
odhrnúť,,Acc,mokré vlasy,z tváre,2,2,0,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
cítiť,,Acc,nežný dotyk jeho prstov,na pokožke,4,2,2,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
mať,,Acc,celoročné hodnotenie,v banke,2,2,0,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
