Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
הגיש,,,עזרה ראשונה,ל_ _הוא,2,2,0,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
אחז,,,רמקול,ב יד_ _של_ _הוא,1,4,-3,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
הוציא,,,את ה ארון,מ מכונית ה חברה קדישא,3,5,-2,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
תקף,,,את משטרת עזה,ב אבנים ו ב מוטות ברזל,3,6,-3,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ניפץ,,,שמשות ו פנסים,ב כלי רכב,3,3,0,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
פצע,,,את סגן מפקד נפת עזה,ב ראש_ _של_ _הוא,5,4,1,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
הסיר,,,את ה עוצר,מ רוב שטחי ה גדה ה מערבית ש הושמו ב עוצר מונע לרגל יום הצהרת בלפור ו בעקבות אירועים אלימים,3,20,-17,4,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
תקף,,,"רופא מקומי ד""ר עפיף ברברח בן 03 ש אושפז ב מצב קשה ב בית ה חולים אל איתיחאד ב שכם",ב סכינים,20,2,18,6,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
יידה,,,אבנים,על חיילים,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
הגדיר,,,את ה מתרחש ב ה_ רצועה ב ה_ יומיים ה אחרונים,כ מלחמה,11,2,9,3,13,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
פצע,,,את_ _הוא,ב אופן בינוני,2,3,-1,2,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
ניפץ,,,זגוגיות של מכוניות חונות של תושבים מקומיים בין_ _הן גם את חלונות מכונית_ _של_ _הוא של דר מוסטפא מקבול,ב עזרת אבנים,19,3,16,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
ניהל,,,קרב יריות,"עם רעולי פנים ש ירו על סיור צה""ל ב מהלך סיור שגרתי ב שכונת שאבורה ש ב רפיח",2,18,-16,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
הוביל,,,את_ _היא,"ל מקום ה מרוחק כ שני ק""ם מ ה עיירה ביר זית סמוך ל התנחלות עטרה",2,16,-14,2,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
תיעד,,,את ש ראו עין_ _של_ _הוא,ב דקדקנות,6,2,4,5,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
הלך,,,תאוצה,בקרב ה קהילה ה אינטלקטואלית ב ישראל,1,7,-6,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
מחק,,,כל בסיס,ל תרבות משותפת ל חוויה משותפת ל רגשות תשתית משותפים,2,10,-8,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
קבע,,,את ה צירוף ה לשוני ה זה,כ כותרת ל אחד מ ספר_ _של_ _הוא,7,8,-1,6,12,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
אפיין,,,רק את טקסי ה זיכרון ל ה_ שואה,ב ה_ פובליציסטיקה ה ישראלית ה נוכחית,8,7,1,10,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
מצא,,,את_ _הוא,"ב התייחסות ל תוכניות רדיו ו טלוויזיה ב יום ה זיכרון ל חללי צה""ל ב יחס ל ה_ דברים ה נאמרים ב אזכרות ל קורבנות טרור ו כ דומה",2,29,-27,2,6,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
נשא,,,אופי לאומי,כמו ב מוות_ _של_ _הם ציוו ל_ _אנחנו את ה חיים,2,11,-9,1,10,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ציווה,,,את ה חיים,ל_ _אנחנו,3,2,1,5,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
ביטא,,,את_ _הוא,ב אופן טקסי חיצוני,2,4,-2,2,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
הדליק,,,נר נשמה,על קבר אב_ _של_ _הוא,2,5,-3,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
הביא,,,את שגב,ל ה_ פסקה ה לא תיאמן ה באה ה מסע כרך פולחן ש כולו _הוא רגשות ו סמלים ו סגידה ביזארית לעתים ל זיכרון ל מוות ו ל קיטש,2,29,-27,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
שאב,,,את מרכיב_ _של_ _הוא,מ שני מקורות ה אחד לאומי ו ה אחר דתי,4,10,-6,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
