Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
haben,,Acc,auch Zeit,für uns,2,2,0,3,1,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
finden,,Acc,was,üer die Navigation,1,3,-2,5,2,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
haben,,Nom,ein solches Geschäft,in der Nähe,3,3,0,5,2,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
bekommen,,Acc,keinen Kreislaufkollaps,bei den Temperaturen,2,3,-1,1,3,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
nehmen,,Acc,sich,für einen,1,2,-1,4,2,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
erklären,,Nom,alles,in dem Detail,1,3,-2,4,1,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
bestellen,,Acc,Pokale,für unser Fußballferiencamp der DJK Allersberg,1,6,-5,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
haben,,,probleme,mit einer Bank,1,3,-2,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
geben,,Dat,Käsefondue und oder Grünkohl,jeweils passend zu der Saison,4,5,-1,4,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
ausstatten,,Acc,unseren Dachboden,mit neuen Schränken,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
trinken,,Acc,den passenden Wein,zu jeder Speise,3,3,0,1,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
weiterempfehlen,,Acc,das Studio,auf keinen Fall,2,3,-1,4,1,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
sehen,,Acc,Geld,von mir,1,2,-1,1,2,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,preverbal
lassen,,Acc,die Finger,von diesem Laden,2,3,-1,5,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
ausstatten,,Acc,meinen Alfa GT,mit Lautsprechern Endstufen und Subwoofern der deutschen Marke AMPIRE,3,9,-6,12,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
ergänzen,,Acc,sich,in ihren Therapiemöglichkeiten,1,3,-2,6,3,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
versehen,,Acc,sämtliche Fenster,mit neuen Vorhängen,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
schieben,,Acc,mich,zwischen die Termine,1,3,-2,4,1,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
haben,,Acc,eine Gehörgangentzündung,auf beiden Ohren,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
verlieren,,,nichts,in einem Chinarestaurant,1,3,-2,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
essen,,Acc,ein echtes Steak,in gepflegter Atmosphäre,3,3,0,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
kaufen,,Acc,viele Hausgeräte,bei MAXX,2,2,0,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
kennenlernen,,Acc,die Stadtwerke,als kompetenten und zuverlässigen Geschäftspartner,2,5,-3,6,1,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
einladen,,Acc,ein paar Geschäftsfreunde,zu dem Essen,3,3,0,4,1,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
machen,,Acc,nur gute Erfahrungen mit der Werkstatt,bei Reparaturen und Inspektionen,6,4,2,8,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
entscheiden,,Acc,mich,für Partynasenbecher und Gebisseiswürfelformen,1,4,-3,5,3,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
bekommen,,Acc,einen Termin,ohne Probleme,2,2,0,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
haben,,Acc,eine Aussicht,in die Hotel Beton Wüste,2,5,-3,8,1,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
äußern,,Acc,sich,in einer sehr unhöflichen Weise,1,5,-4,6,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
auszahlen,,Acc,sich,bei dem Essen,1,3,-2,4,1,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
zahlen,,Acc,große Abstriche,bei dem Essen,2,3,-1,4,1,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
versuchen,,Acc,es,an dem jeweils nächsten Tag,1,5,-4,7,2,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
nutzen,,Acc,einen Ersatzwagen,wärend längerer Reparaturen,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
verschlagen,,Acc,den Atem,bei betreten des Raumes,2,4,-2,1,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
machen,,Acc,Ausflüge,in die herrliche Umgebung,1,4,-3,6,2,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
verbringen,,Acc,einen Tag,zu Hause,2,2,0,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
genießen,,Acc,es,in vollen Zügen,1,3,-2,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
abbrechen,,Acc,die Behandlung,bei Frau Steinbach,2,3,-1,4,1,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
weiterempfehlen,,Acc,die Galerie,ohne Einschränkung,2,2,0,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
empfehlen,,Acc,diese Räder,mit einem großen Feld,2,4,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
erhalten,,Acc,Ihn,nach einem Tipp der Informationstelle in Boston South Station,1,9,-8,10,7,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
machen,,Acc,grobe Fehler,an einem Gerät,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
besuchen,,Acc,das Cafe,vor einigen Tagen,2,3,-1,1,3,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
bekommen,,Acc,einen Pensions Pferde Platz,für unsere kleine Stute,4,4,0,5,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
wechseln,,Acc,Reifen,in dem Reifenhaus,1,3,-2,1,2,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
machen,,Acc,einen großen Bogen,um diese Versicherung,3,3,0,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
bekommen,,Acc,eine Kugel sehr sehr leckeres Eis,für 60 cent,6,3,3,6,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
hören,,Acc,Stimmen,auf den linken Ohr,1,4,-3,2,3,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
verbringen,,Acc,ein Wochenende,in dem Harz,2,3,-1,4,1,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
beraten,,Acc,mich,bzgl Erziehung und Vorbeugung von Erkrankungen,1,6,-5,10,7,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
akzeptieren,,Acc,diesen Tierarzt,in KEINSTER Weise,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
sehen,,Acc,den Laden,nach der Eröffnung,2,3,-1,4,1,definite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
lassen,,Acc,uns,in den nächsten Tagen,1,4,-3,10,6,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
reservieren,,Acc,zwei Zimmer,für meine Eltern,2,3,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
machen,,Acc,sehr gute Erfahrungen,mit der Firma,3,3,0,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
kaufen,,Acc,unseren Skoda Fabia Combi,bei Auto Krause,4,3,1,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
entschließen,,Acc,uns,nach 3 Nächten,1,3,-2,5,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
erfahren,,,etwas,aus dem Thema Astronomie,1,4,-3,5,2,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
fühlen,,Acc,sich,als Kunde,1,2,-1,5,3,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
gönnen,,Acc,eine kurze Auszeit,mit einer Praline und einem Espresso,3,6,-3,2,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
verbringen,,Acc,zwei Nächte,in der Pension Trauschke,2,4,-2,5,2,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
einbauen,,Acc,einen neuen Schlauch,in mein Hinterrad,3,3,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
