Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
condemnar,,,per l' Audiència de Girona,per un delicte de negociacions prohibides a funcionaris,5,8,-3,3,8,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
anar,,,fins a l' Ajuntament,des de la Bonavista,4,4,0,8,4,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
instal·lar,,,22 contenidors de recollida de brossa més,als carrers del Nucli Antic on la recollida encara es fa porta a porta,7,14,-7,2,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dipositar,,,les escombraries,en indrets apartats,2,3,-1,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
participar,,,en un acte,davant la Delegació d' Hisenda de Tarragona,3,7,-4,5,9,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
aportar,,,220.000 pessetes,a Madrid,2,2,0,4,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
repartir,,,"opuscles amb el lema ' Ni més , ni menys . Catalunya necessita un finançament just '",entre els usuaris de l' Agència Tributària de Tarragona,17,9,8,10,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
mantenir,,,contactes,amb els representants dels treballadors i també amb la direcció de l' empresa propietària de les mines Iberpotash,1,18,-17,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
introduir,,,canvis,en el sistema de treball,1,5,-4,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
justificar,,,els seus arguments,a partir de l' anàlisi que s' ha fet internament,3,10,-7,3,8,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dinamitzar,,,el sector turístic andorrà,amb la creació d' un petit parc temàtic un casino un camp de golf un palau de congressos i un centre d' oci familiar,4,24,-20,2,7,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
rebre,,,aquestes propostes que sorgeixen d' un informe encarregat per la corporació,amb bons ulls,11,3,8,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
augmentar,,,l' oferta turística del país,amb els projectes d' un petit parc temàtic un casino un camp de golf un palau de congressos i centres d' oci familiar i nocturn,5,25,-20,4,10,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
estudiar,,,la realitat andorrana,amb enquestes a representants de diversos sectors econòmics,3,8,-5,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
rebre,,,els projectes per a un nou turisme,amb bons ulls,7,3,4,5,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
obrir,,,una oficina del Departament d' Agricultura Ramaderia i Pesca DARP,a Prats de Lluçanès Osona,10,5,5,2,15,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
obrir,,,una nova oficina del DARP,a Prats de Lluçanès on actualment hi ha una subunitat,5,10,-5,3,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
convocar,,,unes 500 persones,en una nova assemblea on es va explicar en quin punt es troben les negociacions,3,15,-12,4,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
comptar,,,amb la complicitat dels altres grups,al Parlament,6,2,4,3,8,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dur,,Acc,lo,al Consell Consultiu de la Generalitat,1,6,-5,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
dictar,,,una conferència,a Tortosa,2,2,0,4,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
detectar,,,un nou cas de colonització d' un bacteri,en un pacient ingressat en una Unitat de Cures Intensives del centre,8,12,-4,4,12,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
provocar,,,el seu ingrés,en la unitat,3,3,0,3,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
funcionar,,,24 amb destinació dins de Catalunya i 36 trens amb destinació fora de Catalunya,en cada sentit de la marxa,14,6,8,12,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
incidir,,,en una alta freqüència de pas,en hores punta,6,3,3,5,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
quedar,,,totalment inutilitzat,a causa dels aiguats de fa un any,2,8,-6,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
donar,,,resposta,a les necessitats dels més de 2 milions de visitants que cada any pugen al monestir,1,16,-15,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
estar,,,a l' estació inferior,en el moment de la forta pluja,4,7,-3,3,7,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
tenir,,,33 municipis que encara no disposen de Pla General d' Ordenació Urbana PGOU,segons dades facilitades pel conseller de Política Territorial Pere Macias en resposta a una pregunta parlamentària del diputat d' ERC Jaume Oliveras,13,22,-9,2,18,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
disposar,,,d' un PGOU o bé de Normes Subsidiàries de planejament municipal,en aquell moment,11,3,8,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
seleccionar,,,les propostes urbanístiques arquitectòniques i mediambientals que serviran de base per a la redacció del futur Pla Especial de Reforma Interior PERI dels terrenys que ara ocupa Pirelli a Vilanova,a partir del dia 8 de juny i durant els propers mesos,30,12,18,16,5,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
aprovar,,,el conveni de col·laboració urbanístic subscrit amb Pirelli Cables y Sistemas SA en relació als terrenys que ocupa la seva fàbrica,per unanimitat,21,2,19,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
cobrir,,,una part del torrent,amb un calaix de formigó,4,5,-1,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
desviar,,,dos trens de llarg recorregut que feien el trajecte Barcelona-País Basc,per la via de Casp,11,5,6,7,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
presentar,,,una moció,al Ple,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
adequar,,,aquests accessos,de cara a l' estiu,2,5,-3,2,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
arribar,,,a un acord,en el litigi per l' acomiadament que tenien pendent de resolució,3,11,-8,3,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
