Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
lossen,,,niets,op dit moment,1,3,-2,4,3,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,postverbal
hebben,,,een drugsprobleem,al sinds jaar en dag,2,5,-3,7,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
ontvangen,,,niets,voor hun opleiding en vorming,1,5,-4,3,6,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
tonen,,,vruchtbare ondernemingszin op dit terrein,in dit opus 93,5,4,1,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
doen,,,veel,voor ons,1,2,-1,1,3,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,postverbal
geven,,,een diagonale voorzet,naar Hilmstrom,3,2,1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
verslaan,,,de rode lantaarndrager,met 3-1,3,2,1,3,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
verdringen,,,Liverpool,van de tweede plaats,1,4,-3,13,17,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
behouden,,,de vierde plaats,door een gelijk spel 1-1 tegen West Bromwich Albion,3,9,-6,3,7,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
spelen,,,zijn partij,met veel verfijning en een gevoelige intimiteit,2,7,-5,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
hebben,,,oog,voor de twee mannen die hij zonder kind uit de bosjes zag terugkomen en in draf naar hun auto zag lopen,1,21,-20,2,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
betekenen,,,een kleine aderlating,voor de minister van Financien,3,5,-2,10,5,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
trekken,,,8 1/2 punt,per saldo,3,2,1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
stellen,,,zijn aanhang,met de leerling Arnold Mollema,2,5,-3,7,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
krijgen,,,enig gezicht,via de klok die de heer D. de Nijs namens de gemeentelijke commissie aanbood en de combinatie van weermeters van de bevriende zeilvereniging ZVLM die in het legertje van 102 deelnemers weer bijzonder sterk vertegenwoordigd is,2,36,-34,4,8,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
bezingen,,,Linda,op muziek van Harry Sacksioni en op tekst van Loes Sacksioni,1,11,-10,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vinden,,,zijn knecht,in een ruimte vol rook,2,5,-3,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dragen,,,mini-bikini's en dat wil wat zeggen ze bedekken niet veel meer dan de tepels en badpakken waarop ze bij tijd en wijle maxirokken knoopt,in zijn nieuwe show,24,4,20,5,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
ontdekken,,,de brand,vanuit de foyer,2,3,-1,10,8,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
