Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
haber,,,unha evidencia limitada de carcinoxenicidade,en os humanos e menos que suficiente para os animais de experimentación,5,12,-7,2,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
certificar,,,que os produtos marcados con o selo PEFC proceden de montes sostibles,por escrito,12,2,10,11,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
finalizar,,,meses contados,desde a data en que a solicitude tivese entrada en calquera de os rexistros de o órgano administrativo competente ou desde a data de a súa emenda por requirimento de o dito órgano,2,33,-31,4,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ter,,,entrada,en calquera de os rexistros de o órgano administrativo competente,1,10,-9,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
medir,,,que cada profesional alcance en o posto de traballo con independencia de o sistema de formación que seguise para alcanzar a,en o resultado concreto,21,4,17,9,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
situar,,,a principios de o mes de outubro,en -10 puntos básicos,7,4,3,7,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
atopar,,,diferencia,segundo o nivel de estudios de os titores,1,8,-7,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
reembolsar,,,o,en o caso de que sexa condenada por o incumprimento de a lexislación vixente en materia laboral,1,17,-16,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
limitar,,,a algúns de os tradicionalmente recoñecidos como os tributarios e os de cotas de a Seguridade Social ata o 50 por cento de o seu importe en cada caso,en a súa contía,29,4,25,6,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
eliminar,,,as próteses removibles,en a medida de o posible,3,6,-3,8,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
integrar,,,cribadores,en a unidade de cribado,1,5,-4,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
xerar,,,intervalos en función de a secuencia de respostas,para cada entrada de partida catro,8,6,2,7,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
prever,,,a realización de investimentos en infraestructuras e equipos de telecomunicacións acompañados de accións de formación asistencia técnica e experiencias piloto en investigación e desenvolvemento tecnolóxico,por exemplo,25,2,23,7,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
ter,,,consecuencias relevantes,para a renovación de a museoloxía contemporánea e tamén para a antropomuseoloxía ou etnomuseoloxía,2,14,-12,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
acadar,,,"unha medra de o 7,3 % respecto",en o último ano,7,4,3,6,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
observar,,,o fenómeno,en o seu conxunto,2,4,-2,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
protexer,,,os instrumentos de o sol e de a chuvia,con unha boa ventilación e libre movemento de aire tanto horizontal como verticalmente,9,13,-4,2,14,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
experimentar,,,subidas e baixadas,desde os anos noventa,3,4,-1,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
enfrontar,,,o sector forestal,en a actualidade,3,3,0,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
obter,,,a representación gráfica de as curvas de o potencial auditivo evocado xerado de unha mostra aleatoria de o 1%dos neonatos cribados,de o equipo de cribado,21,5,16,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
