Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
kulkea,Ill,Par,jokea,yläjuoksulle päin,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
hankkia,,Par,lapsia,lesbojen kanssa,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
nähdä,,Nom,opettajat,työpaikan ulkopuolella,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
katsoa,,Gen,aivan mahtavan animaation nimeltään Cloudy with a Chance of Meatballs,ystäväni kanssa,10,2,8,5,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
pystyttää,,Gen,ilmoittautumispisteen,Mintun kanssa,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
estellä,,Par,minua,takin kanssa,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,postposition,nonshifted,postverbal
haluta,,Par,naamaani,kameran eteen,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
skipata,Ill,Gen,cyclingin yhden Huuto.net-noudon ja muutenkin lähes kaiken mahdollisen liikkumisen,sen vuoksi,9,2,7,3,1,indefinite,indefinite,nonpronomial,pronominal,postposition,shifted,postverbal
pukea,,Nom,kahden sukkahousut,farkkujeni alle,2,2,0,3,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
viettää,,Par,joulua,perheen kanssa,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
liittää,Ill,Gen,näytön,pakettiin mukaan,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
kirjoittaa,,Gen,tämän tekstin,ihan selvyyden vuoksi,2,3,-1,6,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
julkaista,,Gen,vaalikoneensa datan,pari päivää sitten,2,3,-1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
levittää,,Nom,porkkana- ja juustoraasteet,kalojen päälle,3,2,1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
sekoittaa,,Nom,ensin kaikki muut ainekset ja viimeisenä kermavaahto,jogurtin sekaan,7,2,5,6,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
antaa,,Par,mukavaa yhteismakua,muidenkin marjojen kanssa,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
heilutella,,Par,pamppua,vanhempien maksaman peili-liukuoven edessä,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
keittää,Ade,Nom,lihaliemikuutio,sienien liotusnesteeseen 1 dl mukaan,1,5,-4,11,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
lisätä,Ins,Gen,yhden sokeripalan,savustuslastujen mukaan,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
tarkistaa,,Nom,kalan suolaisuus,sitä ennen,2,2,0,4,1,indefinite,indefinite,nonpronomial,pronominal,postposition,shifted,postverbal
asettaa,,Gen,juuston,leikkeleen alle eli juuri toisin päin kuin itse tekisin,1,9,-8,1,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
saada,Nom,Gen,yhteiskäsitteen,siihen mukaan,1,2,-1,3,1,indefinite,indefinite,nonpronomial,pronominal,postposition,shifted,postverbal
säilyttää,,Gen,kuuden kuukauden siirtymäkauden,direktiivin voimaan astumisen jälkeen,3,4,-1,3,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
seurata,Nom,Par,poliittista elämää,vuodesta 1977 alkaen,2,3,-1,2,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
täyttää,Tra,Nom,demokratialausekkeessa edellytetyt velvoitteet,niin assosiointisopimusta varten kuin solmiakseen muita siteitä Euroopan unionin kanssa,3,10,-7,3,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
solmia,Tra,Par,muita siteitä,Euroopan unionin kanssa,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
liittää,,Nom,sosiaalis-taloudellinen ja oikeudellinen tutkimus,sellaisten seikkojen vuoksi jotka sisältyvät erityisesti 13 kohtaan jossa käsitellään ratkaisevan tärkeitä yksityisyyteen ja tietojensuojaan liittyviä kysymyksiä,4,17,-13,4,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
tehdä,,Par,päätöksiä,Iranin ydinohjelman suhteen,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
antaa,,Par,todellista syvyyttä,viimevuotisen Gutiérrez Díazin ja vuoden 1995 Kuhnin mietintöjen jälkeen,2,9,-7,11,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
löytää,Ill,Par,rakentavia ratkaisuja,Euroopan parlamentin kanssa,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
lähettää,,Gen,tiedon ajoneuvon sijainnista nopeudesta ja omistajasta,Euroopan laajuisen hätänumeron 112 kautta,6,5,1,6,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
suojella,,Par,kalakantoja,aluevesirajansa ulkopuolella,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
jatkaa,,Par,heidän työsopimuksiaan,eläkeikään asti,2,2,0,2,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
